timestamp,steps,data source
2025-08-04T02:53:00Z,25,Sense 2
2025-08-04T02:56:00Z,7,Sense 2
2025-08-04T03:00:00Z,29,Sense 2
2025-08-04T03:02:00Z,8,Sense 2
2025-08-04T03:03:00Z,37,Sense 2
2025-08-04T03:04:00Z,14,Sense 2
2025-08-04T03:05:00Z,19,Sense 2
2025-08-04T03:06:00Z,17,Sense 2
2025-08-04T03:07:00Z,30,Sense 2
2025-08-04T03:08:00Z,35,Sense 2
2025-08-04T03:09:00Z,45,Sense 2
2025-08-04T03:10:00Z,70,Sense 2
2025-08-04T03:11:00Z,9,Sense 2
2025-08-04T03:14:00Z,16,Sense 2
2025-08-04T03:15:00Z,32,Sense 2
2025-08-04T03:16:00Z,4,Sense 2
2025-08-04T03:17:00Z,9,Sense 2
2025-08-04T03:18:00Z,24,Sense 2
2025-08-04T03:20:00Z,63,Sense 2
2025-08-04T03:21:00Z,37,Sense 2
2025-08-04T03:22:00Z,27,Sense 2
2025-08-04T03:23:00Z,32,Sense 2
2025-08-04T03:24:00Z,8,Sense 2
2025-08-04T03:25:00Z,25,Sense 2
2025-08-04T03:26:00Z,9,Sense 2
2025-08-04T03:27:00Z,19,Sense 2
2025-08-04T03:29:00Z,8,Sense 2
2025-08-04T03:30:00Z,52,Sense 2
