timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-10T21:30:00Z,27.2,0.0,Fitbit App
2025-08-10T21:35:00Z,26.289,0.0,Fitbit App
2025-08-10T21:40:00Z,27.865,0.0,Fitbit App
2025-08-10T21:45:00Z,26.132,0.0,Fitbit App
2025-08-10T21:50:00Z,27.106,0.0,Fitbit App
2025-08-10T21:55:00Z,36.896,0.0,Fitbit App
2025-08-10T22:00:00Z,40.786,0.0,Fitbit App
2025-08-10T22:05:00Z,10.352,0.0,Fitbit App
2025-08-10T22:10:00Z,22.479,0.0,Fitbit App
2025-08-10T22:15:00Z,25.258,0.0,Fitbit App
2025-08-10T22:20:00Z,24.441,0.0,Fitbit App
2025-08-10T22:25:00Z,26.744,0.0,Fitbit App
2025-08-10T22:30:00Z,30.345,0.0,Fitbit App
2025-08-10T22:35:00Z,21.893,0.0,Fitbit App
2025-08-10T22:40:00Z,23.43,0.0,Fitbit App
2025-08-10T22:45:00Z,25.979,0.0,Fitbit App
2025-08-10T22:50:00Z,12.754,0.0,Fitbit App
2025-08-10T22:55:00Z,15.643,0.0,Fitbit App
2025-08-10T23:00:00Z,28.647,0.0,Fitbit App
2025-08-10T23:05:00Z,28.169,0.0,Fitbit App
2025-08-10T23:10:00Z,36.676,0.0,Fitbit App
2025-08-10T23:15:00Z,37.864,0.0,Fitbit App
2025-08-10T23:20:00Z,34.477,0.0,Fitbit App
2025-08-10T23:25:00Z,33.209,0.0,Fitbit App
2025-08-10T23:30:00Z,38.339,0.0,Fitbit App
2025-08-10T23:35:00Z,28.623,0.0,Fitbit App
2025-08-10T23:40:00Z,42.862,0.0,Fitbit App
2025-08-10T23:45:00Z,39.759,0.0,Fitbit App
2025-08-10T23:50:00Z,42.321,0.0,Fitbit App
2025-08-10T23:55:00Z,27.204,0.0,Fitbit App
2025-08-11T00:00:00Z,20.684,0.0,Fitbit App
2025-08-11T00:05:00Z,24.847,0.0,Fitbit App
2025-08-11T00:10:00Z,23.349,0.0,Fitbit App
2025-08-11T00:15:00Z,27.054,0.0,Fitbit App
2025-08-11T00:20:00Z,23.816,0.0,Fitbit App
2025-08-11T00:25:00Z,25.711,0.0,Fitbit App
2025-08-11T00:30:00Z,33.317,0.0,Fitbit App
2025-08-11T00:35:00Z,40.124,0.0,Fitbit App
2025-08-11T00:40:00Z,44.809,0.0,Fitbit App
2025-08-11T00:45:00Z,43.647,0.0,Fitbit App
2025-08-11T00:50:00Z,36.889,0.0,Fitbit App
2025-08-11T00:55:00Z,35.403,0.0,Fitbit App
2025-08-11T01:00:00Z,11.842,0.0,Fitbit App
2025-08-11T01:05:00Z,14.664,0.0,Fitbit App
2025-08-11T01:10:00Z,16.875,0.0,Fitbit App
2025-08-11T01:15:00Z,17.126,0.0,Fitbit App
2025-08-11T01:20:00Z,16.226,0.0,Fitbit App
2025-08-11T01:25:00Z,15.943,0.0,Fitbit App
2025-08-11T01:30:00Z,15.97,0.0,Fitbit App
2025-08-11T01:35:00Z,20.286,0.0,Fitbit App
2025-08-11T01:40:00Z,18.836,0.0,Fitbit App
2025-08-11T01:45:00Z,19.001,0.0,Fitbit App
2025-08-11T01:50:00Z,18.85,0.0,Fitbit App
2025-08-11T01:55:00Z,18.102,0.0,Fitbit App
2025-08-11T02:00:00Z,19.352,0.0,Fitbit App
2025-08-11T02:05:00Z,20.018,0.0,Fitbit App
2025-08-11T02:10:00Z,26.417,0.0,Fitbit App
2025-08-11T02:15:00Z,25.016,0.0,Fitbit App
