timestamp,temperature celsius,data source
2025-07-14T20:28:00Z,33.9,Sense 2
2025-07-14T20:29:00Z,33.9,Sense 2
2025-07-14T20:30:00Z,33.9,Sense 2
2025-07-14T20:31:00Z,33.9,Sense 2
2025-07-14T20:32:00Z,33.8,Sense 2
2025-07-14T20:33:00Z,33.8,Sense 2
2025-07-14T20:34:00Z,33.8,Sense 2
2025-07-14T20:35:00Z,33.8,Sense 2
2025-07-14T20:36:00Z,33.8,Sense 2
2025-07-14T20:37:00Z,33.8,Sense 2
2025-07-14T20:38:00Z,33.8,Sense 2
2025-07-14T20:39:00Z,33.8,Sense 2
2025-07-14T20:40:00Z,33.7,Sense 2
2025-07-14T20:41:00Z,33.7,Sense 2
2025-07-14T20:42:00Z,33.7,Sense 2
2025-07-14T20:43:00Z,33.8,Sense 2
2025-07-14T20:44:00Z,33.7,Sense 2
2025-07-14T20:45:00Z,33.7,Sense 2
2025-07-14T20:46:00Z,33.7,Sense 2
2025-07-14T20:47:00Z,33.7,Sense 2
2025-07-14T20:48:00Z,33.7,Sense 2
2025-07-14T20:49:00Z,33.7,Sense 2
2025-07-14T20:50:00Z,33.7,Sense 2
2025-07-14T20:51:00Z,33.7,Sense 2
2025-07-14T20:52:00Z,33.7,Sense 2
2025-07-14T20:53:00Z,33.7,Sense 2
2025-07-14T20:54:00Z,33.7,Sense 2
2025-07-14T20:55:00Z,33.7,Sense 2
2025-07-14T20:56:00Z,33.7,Sense 2
2025-07-14T20:57:00Z,33.7,Sense 2
2025-07-14T20:58:00Z,33.7,Sense 2
2025-07-14T20:59:00Z,33.7,Sense 2
2025-07-14T21:00:00Z,33.7,Sense 2
2025-07-14T21:01:00Z,33.7,Sense 2
2025-07-14T21:02:00Z,33.7,Sense 2
2025-07-14T21:03:00Z,33.7,Sense 2
2025-07-14T21:04:00Z,33.6,Sense 2
2025-07-14T21:05:00Z,33.6,Sense 2
2025-07-14T21:06:00Z,33.5,Sense 2
2025-07-14T21:07:00Z,33.5,Sense 2
2025-07-14T21:08:00Z,33.5,Sense 2
2025-07-14T21:09:00Z,33.5,Sense 2
2025-07-14T21:10:00Z,33.5,Sense 2
2025-07-14T21:11:00Z,33.5,Sense 2
2025-07-14T21:12:00Z,33.5,Sense 2
2025-07-14T21:13:00Z,33.5,Sense 2
2025-07-14T21:14:00Z,33.5,Sense 2
2025-07-14T21:15:00Z,33.5,Sense 2
2025-07-14T21:16:00Z,33.4,Sense 2
2025-07-14T21:17:00Z,33.5,Sense 2
2025-07-14T21:18:00Z,33.4,Sense 2
2025-07-14T21:19:00Z,33.4,Sense 2
2025-07-14T21:20:00Z,33.4,Sense 2
2025-07-14T21:21:00Z,33.5,Sense 2
2025-07-14T21:22:00Z,33.5,Sense 2
2025-07-14T21:23:00Z,33.5,Sense 2
2025-07-14T21:24:00Z,33.5,Sense 2
2025-07-14T21:25:00Z,33.5,Sense 2
2025-07-14T21:26:00Z,33.5,Sense 2
2025-07-14T21:27:00Z,33.5,Sense 2
2025-07-14T21:28:00Z,33.4,Sense 2
2025-07-14T21:29:00Z,33.2,Sense 2
2025-07-14T21:30:00Z,33.2,Sense 2
2025-07-14T21:31:00Z,33.2,Sense 2
2025-07-14T21:32:00Z,33.4,Sense 2
2025-07-14T21:33:00Z,33.5,Sense 2
2025-07-14T21:34:00Z,33.5,Sense 2
2025-07-14T21:35:00Z,33.6,Sense 2
2025-07-14T21:36:00Z,33.6,Sense 2
2025-07-14T21:37:00Z,33.5,Sense 2
2025-07-14T21:38:00Z,33.5,Sense 2
2025-07-14T21:39:00Z,33.4,Sense 2
2025-07-14T21:40:00Z,33.4,Sense 2
2025-07-14T21:41:00Z,33.3,Sense 2
2025-07-14T21:42:00Z,33.3,Sense 2
2025-07-14T21:43:00Z,33.2,Sense 2
2025-07-14T21:44:00Z,33.2,Sense 2
2025-07-14T21:45:00Z,33.3,Sense 2
2025-07-14T21:46:00Z,33.4,Sense 2
2025-07-14T21:47:00Z,33.4,Sense 2
